time,lat,lon,sog,cog,hdg
2026-07-23T00:00:00.000Z,35.050000,129.100000,55.0,45.0,47.0
2026-07-23T00:00:01.000Z,35.050180,129.100220,55.0,45.0,47.0
2026-07-23T00:00:02.000Z,35.050359,129.100439,55.0,45.0,47.0
2026-07-23T00:00:03.000Z,35.050539,129.100659,55.0,45.0,47.0
2026-07-23T00:00:04.000Z,35.050719,129.100878,55.0,45.0,47.0
2026-07-23T00:00:05.000Z,35.050899,129.101098,55.0,45.0,47.0
2026-07-23T00:00:06.000Z,35.051078,129.101317,55.0,45.0,47.0
2026-07-23T00:00:07.000Z,35.051258,129.101537,55.0,45.0,47.0
2026-07-23T00:00:08.000Z,35.051438,129.101756,55.0,45.0,47.0
2026-07-23T00:00:09.000Z,35.051618,129.101976,55.0,45.0,47.0
2026-07-23T00:00:10.000Z,35.051797,129.102195,55.0,45.0,47.0
2026-07-23T00:00:11.000Z,35.051977,129.102415,55.0,45.0,47.0
2026-07-23T00:00:12.000Z,35.052157,129.102635,55.0,45.0,47.0
2026-07-23T00:00:13.000Z,35.052336,129.102854,55.0,45.0,47.0
2026-07-23T00:00:14.000Z,35.052516,129.103074,55.0,45.0,47.0
2026-07-23T00:00:15.000Z,35.052696,129.103293,55.0,45.0,47.0
2026-07-23T00:00:16.000Z,35.052876,129.103513,55.0,45.0,47.0
2026-07-23T00:00:17.000Z,35.053055,129.103732,55.0,45.0,47.0
2026-07-23T00:00:18.000Z,35.053235,129.103952,55.0,45.0,47.0
2026-07-23T00:00:19.000Z,35.053415,129.104171,55.0,45.0,47.0
2026-07-23T00:00:20.000Z,35.053595,129.104391,55.0,45.0,47.0
2026-07-23T00:00:21.000Z,35.053774,129.104610,55.0,45.0,47.0
2026-07-23T00:00:22.000Z,35.053954,129.104830,55.0,45.0,47.0
2026-07-23T00:00:23.000Z,35.054134,129.105050,55.0,45.0,47.0
2026-07-23T00:00:24.000Z,35.054313,129.105269,55.0,45.0,47.0
2026-07-23T00:00:25.000Z,35.054493,129.105489,55.0,45.0,47.0
2026-07-23T00:00:26.000Z,35.054673,129.105708,55.0,45.0,47.0
2026-07-23T00:00:27.000Z,35.054853,129.105928,55.0,45.0,47.0
2026-07-23T00:00:28.000Z,35.055032,129.106147,55.0,45.0,47.0
2026-07-23T00:00:29.000Z,35.055212,129.106367,55.0,45.0,47.0
2026-07-23T00:00:30.000Z,35.055392,129.106586,55.0,45.0,47.0
2026-07-23T00:00:31.000Z,35.055572,129.106806,55.0,45.0,47.0
2026-07-23T00:00:32.000Z,35.055751,129.107026,55.0,45.0,47.0
2026-07-23T00:00:33.000Z,35.055931,129.107245,55.0,45.0,47.0
2026-07-23T00:00:34.000Z,35.056111,129.107465,55.0,45.0,47.0
2026-07-23T00:00:35.000Z,35.056290,129.107684,55.0,45.0,47.0
2026-07-23T00:00:36.000Z,35.056470,129.107904,55.0,45.0,47.0
2026-07-23T00:00:37.000Z,35.056650,129.108123,55.0,45.0,47.0
2026-07-23T00:00:38.000Z,35.056830,129.108343,55.0,45.0,47.0
2026-07-23T00:00:39.000Z,35.057009,129.108562,55.0,45.0,47.0
2026-07-23T00:00:40.000Z,35.057189,129.108782,55.0,45.0,47.0
2026-07-23T00:00:41.000Z,35.057369,129.109002,55.0,45.0,47.0
2026-07-23T00:00:42.000Z,35.057549,129.109221,55.0,45.0,47.0
2026-07-23T00:00:43.000Z,35.057728,129.109441,55.0,45.0,47.0
2026-07-23T00:00:44.000Z,35.057908,129.109660,55.0,45.0,47.0
2026-07-23T00:00:45.000Z,35.058088,129.109880,55.0,45.0,47.0
2026-07-23T00:00:46.000Z,35.058267,129.110099,55.0,45.0,47.0
2026-07-23T00:00:47.000Z,35.058447,129.110319,55.0,45.0,47.0
2026-07-23T00:00:48.000Z,35.058627,129.110538,55.0,45.0,47.0
2026-07-23T00:00:49.000Z,35.058807,129.110758,55.0,45.0,47.0
2026-07-23T00:00:50.000Z,35.058986,129.110978,55.0,45.0,47.0
2026-07-23T00:00:51.000Z,35.059166,129.111197,55.0,45.0,47.0
2026-07-23T00:00:52.000Z,35.059346,129.111417,55.0,45.0,47.0
2026-07-23T00:00:53.000Z,35.059526,129.111636,55.0,45.0,47.0
2026-07-23T00:00:54.000Z,35.059705,129.111856,55.0,45.0,47.0
2026-07-23T00:00:55.000Z,35.059885,129.112075,55.0,45.0,47.0
2026-07-23T00:00:56.000Z,35.060065,129.112295,55.0,45.0,47.0
2026-07-23T00:00:57.000Z,35.060244,129.112515,55.0,45.0,47.0
2026-07-23T00:00:58.000Z,35.060424,129.112734,55.0,45.0,47.0
2026-07-23T00:00:59.000Z,35.060604,129.112954,55.0,45.0,47.0
2026-07-23T00:01:00.000Z,35.060784,129.113173,55.0,45.0,47.0
