timestamp,id,shipname,shiptype,shiplength[m],shipbeam[m],lat,lon,yaw[deg],turningrate[deg/s],tugenable
2026-07-23T00:00:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.091278,129.106927,135.0,0.00,0
2026-07-23T00:00:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.090219,129.108221,135.0,0.00,0
2026-07-23T00:01:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.089160,129.109514,135.0,0.00,0
2026-07-23T00:01:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.088102,129.110808,135.0,0.00,0
2026-07-23T00:02:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.087043,129.112101,135.0,0.00,0
2026-07-23T00:02:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.085984,129.113395,135.0,0.00,0
2026-07-23T00:03:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.084925,129.114688,135.0,0.00,0
2026-07-23T00:03:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.083867,129.115982,135.0,0.00,0
2026-07-23T00:04:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.082808,129.117275,135.0,0.00,0
2026-07-23T00:04:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.081749,129.118568,135.0,0.00,0
2026-07-23T00:05:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.080690,129.119862,135.0,0.00,0
2026-07-23T00:05:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.079632,129.121155,135.0,0.00,0
2026-07-23T00:06:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.078573,129.122449,135.0,0.00,0
2026-07-23T00:06:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.077514,129.123742,135.0,0.00,0
2026-07-23T00:07:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.076455,129.125036,135.0,0.00,0
