time,lat,lon,sog,cog,hdg
2026-07-23T00:00:00.000Z,35.050000,129.100000,12.0,45.0,47.0
2026-07-23T00:00:01.000Z,35.050039,129.100048,12.0,45.0,47.0
2026-07-23T00:00:02.000Z,35.050078,129.100096,12.0,45.0,47.0
2026-07-23T00:00:03.000Z,35.050118,129.100144,12.0,45.0,47.0
2026-07-23T00:00:04.000Z,35.050157,129.100192,12.0,45.0,47.0
2026-07-23T00:00:05.000Z,35.050196,129.100239,12.0,45.0,47.0
2026-07-23T00:00:06.000Z,35.050235,129.100287,12.0,45.0,47.0
2026-07-23T00:00:07.000Z,35.050274,129.100335,12.0,45.0,47.0
2026-07-23T00:00:08.000Z,35.050314,129.100383,12.0,45.0,47.0
2026-07-23T00:00:09.000Z,35.050353,129.100431,12.0,45.0,47.0
2026-07-23T00:00:10.000Z,35.050392,129.100479,12.0,45.0,47.0
